1,14 Dahle Crossing,Murcia,Philippines,PH,989
2,61927 Village Terrace,Nanto-shi,Japan,JP,10934
3,960 Chinook Point,Yanzhou,China,CN,1689
4,7 Burning Wood Hill,Poitiers,France,FR,6823
5,1763 Artisan Circle,Napenay,Argentina,AR,26192
6,9873 Donald Place,New Plymouth,New Zealand,NZ,99236
7,0391 Northridge Terrace,Taiqing,China,CN,50090
8,1471 Everett Terrace,Paris 15,France,FR,98199
9,3 Golden Leaf Court,Bergen,Norway,NO,M5V 2L7
10,844 Sommers Pass,Languan,China,CN,YSW 9T2
11,64585 Sloan Point,Pangtangis Dajah,Indonesia,ID,190518
12,3 Columbus Road,Amieira do Tejo,Portugal,PT,490231
13,36464 Harbort Hill,Zliv,Czech Republic,CZ,2901
14,0 Moland Circle,Ca-te-Saint-Luc,Canada,CA,540198
15,1 1st Pass,Luka nad Jihlavou,Czech Republic,CZ,(null)
16,0319 Fairview Crossing,Hegarmanah,Indonesia,ID,OX9 9ZB
17,6141 Bluejay Junction,Shuanghe,China,CN,9629850293
18,59 Kedzie Drive,Atlanta,United States,US,80925
19,2 Carey Lane,Warungsugan,Indonesia,ID,01307-002
20,02 Nobel Place,Lopez Jaena,Philippines,PH,1730
21,3 Meadow Valley Point,Seversk,Russia,RU,3095
22,5615 Holmberg Road,Livadiya,Ukraine,UA,3029SK
23,264 Laurel Way,Granada,Spain,ES,11932